date,word,jumbles
2022-07-15 09:14:00,strain,"['trains', 'starin', 'artsin', 'arstin', 'stinar', 'ntarsi']"
2022-07-15 09:14:00,cartel,['rectal']
2022-07-15 09:14:00,cartels,"['scarlet', 'crestal']"
2022-07-15 09:14:00,arcsine,['arsenic']
2022-07-15 09:14:00,arcsines,"['arsenics', 'raciness']"
2022-07-15 09:14:00,liberal,['braille']
2022-07-18 03:27:00,scouts,['scotus']
2022-07-19 18:51:00,ralsei,"['serial', 'israel', 'asriel']"
2022-07-19 18:51:00,profile,['prolife']
2022-07-22 16:51:00,tetanus,"['attunes', 'unstate']"
2022-07-22 16:51:00,ate,"['tea', 'eat']"
2022-07-22 16:51:00,state,"['teats', 'taste']"
2022-07-22 16:51:00,molarity,['morality']
2022-07-23 11:43:00,molar,['moral (i copied vedh)']
2022-07-27 22:50:00,eggman,['gagmen']
2022-07-28 20:35:00,sort,['rots']
2022-08-01 13:14:00,platelet,['pallette']
2022-08-03 14:13:00,door,['odor']
2022-08-04 14:55:00,knee,['keen']
2022-08-04 14:55:00,sordid,['droids']
2022-08-05 15:18:00,neigh,['hinge']
2022-08-10 15:57:00,maiden,"['mained', 'median']"
2022-08-14 17:44:00,agent,['tange']
2022-08-14 17:44:00,titan,['taint']
2022-08-14 17:44:00,austen,['unseat']
2022-08-19 12:13:00,inward,['darwin']
2022-08-19 12:13:00,sangam,['mangas']
2022-08-20 23:12:00,rebate,['berate']
2022-08-27 16:18:00,apple id,['applied']
2022-08-27 16:18:00,rescue,['secure']
2022-09-07 13:32:00,econ,"['cone', 'once']"
2022-09-14 18:50:00,ours,['sour']
2022-09-15 13:50:00,stoma,"['moats', 'atoms']"
2022-09-16 12:10:00,maori,['mario']
2022-09-20 23:27:00,derulo,['louder']
2022-09-21 17:30:00,ceramic,['racemic']
2022-09-21 17:30:00,mineral,['manlier']
2022-09-24 17:59:00,sitar,['stair']
2022-10-02 14:59:00,indelible,['inedible']
2022-10-02 14:59:00,list,"['slit', 'silt']"
2022-10-02 14:59:00,lied,['deli']
2022-10-02 14:59:00,silo,"['soil', 'lois', 'oils']"
2022-10-03 10:53:00,statue,['astute']
2022-10-03 10:53:00,barbie,['babier']
2022-10-03 10:53:00,amherst,['hamster']
2022-10-04 11:16:00,grape,['pager']
2022-10-04 11:16:00,anime,['maine']
2022-10-04 11:16:00,sperm,['perms']
2022-10-04 11:16:00,asil,['bails']
2022-10-04 11:16:00,grapes,"['gasper', 'sparge']"
2022-10-04 11:16:00,shag,"['gash', 'hags']"
2022-10-04 11:16:00,sad,['ads']
2022-10-04 11:16:00,dad,['add']
2022-10-04 11:16:00,gas,['sag']
2022-10-04 11:16:00,spear,"['spare', 'pears', 'parse', 'rapes']"
